rank_number,game_name,Platform,year_realse,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii Sports,Wii,2006,Sports,Nintendo,41.5,29,3.8,8.5,82.7
2,Super Mario Bros.,NES,1985,Platform,Nintendo,29.1,3.6,6.8,0.8,40.2
3,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.9,12.9,3.8,3.3,35.8
4,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.8,11,3.3,3,33
5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.3,8.9,10.2,1,31.4
6,Tetris,GB,1989,Puzzle,Nintendo,23.2,2.3,4.2,0.6,30.3
7,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.4,9.2,6.5,2.9,30
8,Wii Play,Wii,2006,Misc,Nintendo,14,9.2,2.9,2.9,29
9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.6,7.1,4.7,2.3,28.6
10,Duck Hunt,NES,1984,Shooter,Nintendo,26.9,0.6,0.3,0.5,28.3
11,Nintendogs,DS,2005,Simulation,Nintendo,9.1,11,1.9,2.8,24.8
12,Mario Kart DS,DS,2005,Racing,Nintendo,9.8,7.6,4.1,1.9,23.4
13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9,6.2,7.2,0.7,23.1
14,Wii Fit,Wii,2007,Sports,Nintendo,8.9,8,3.6,2.2,22.7
15,Wii Fit Plus,Wii,2009,Sports,Nintendo,9.1,8.6,2.5,1.8,22
16,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,15,4.9,0.2,1.7,21.8
17,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7,9.3,1,4.1,21.4
18,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.4,0.4,0.4,10.6,20.8
19,Super Mario World,SNES,1990,Platform,Nintendo,12.8,3.8,3.5,0.6,20.6
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.8,9.3,4.2,2.1,20.2
21,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.4,4.5,6,1.4,18.4
22,Super Mario Land,GB,1989,Platform,Nintendo,10.8,2.7,4.2,0.4,18.1
23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.5,3.4,3.8,0.5,17.3
24,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.6,5.3,0.1,1.4,16.4
25,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.4,5.5,0.5,1.8,16.2
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.1,3.9,5.4,0.5,15.9
27,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.6,3.3,5.7,0.8,15.3
28,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.4,5.4,5.3,1.2,15.3
29,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.9,5.1,1.9,1.2,15
30,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9,4.3,0.1,1.3,14.8
31,PokÃ©mon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.9,5,3.1,0.6,14.6
32,Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.7,3.7,0.1,1.1,14.6
33,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.2,4.1,4.3,0.8,14.4
34,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,5.8,5.8,0.4,2.3,14.2
35,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,5,5.9,0.7,2.5,14
36,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.3,4.3,0.1,1.1,13.7
37,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.5,3.6,0.1,1.3,13.5
38,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.5,5.8,0.5,1.6,13.5
39,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,7,4.5,0.3,1.3,13.1
40,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.8,2.6,2.7,1,13
41,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,6,4.4,0.5,1.8,12.7
42,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.6,3.5,5.3,0.9,12.3
43,Mario Kart 7,3DS,2011,Racing,Nintendo,4.7,3.9,2.7,0.9,12.2
44,Halo 3,X360,2007,Shooter,Microsoft Game Studios,8,2.8,0.1,1.2,12.1
45,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.8,5.8,0.4,2,12
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4.4,2.8,4,0.8,11.9
47,Super Mario 64,N64,1996,Platform,Nintendo,6.9,2.9,1.9,0.2,11.9
49,Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.2,3.4,1.2,0.8,11.5
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.2,3.4,3.1,0.7,11.3
51,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.2,2,2.7,0.3,11.2
52,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.8,3.1,0.1,1,11
53,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4,3.9,2.5,0.5,11
54,Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.9,3,2.1,0.8,10.8
55,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,3,4.9,0.8,2.1,10.8
56,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,5,3.7,0.4,1.6,10.7
57,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.8,3.8,0.4,1.6,10.6
58,Super Mario All-Stars,SNES,1993,Platform,Nintendo,6,2.2,2.1,0.3,10.6
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.3,2.7,3.2,0.4,10.5
60,Super Mario 64,DS,2004,Platform,Nintendo,5.1,3.1,1.3,1,10.4
63,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7,2,0.1,0.8,9.9
64,Mario Kart 64,N64,1996,Racing,Nintendo,5.6,1.9,2.2,0.2,9.9
65,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.7,3.1,2.5,0.6,9.8
67,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3,2.5,3.3,1,9.7
68,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.1,3.7,0.4,1.4,9.6
70,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.9,3.4,1.7,0.5,9.5
71,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.9,2.4,0.1,0.9,9.3
72,Donkey Kong Country,SNES,1994,Platform,Nintendo,4.4,1.7,3,0.2,9.3
74,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2,2.3,4.4,0.4,9.1
75,Mario Party DS,DS,2007,Misc,Nintendo,4.5,1.9,2,0.7,9
76,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5,2.9,0.1,0.9,8.8
77,Super Mario Kart,SNES,1992,Racing,Nintendo,3.5,1.2,3.8,0.2,8.8
78,FIFA 16,PS4,2015,Sports,Electronic Arts,1.1,6.1,0.1,1.3,8.5
79,Wii Party,Wii,2010,Misc,Nintendo,1.8,3.5,2.5,0.7,8.5
80,Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.8,1.5,0.1,0.1,8.5
81,Mario Party 8,Wii,2007,Misc,Nintendo,3.8,2.3,1.6,0.7,8.4
82,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.9,1.9,3.1,0.4,8.3
83,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.1,5.1,0.1,2,8.2
85,GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2,0.1,0.2,8.1
86,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.6,3.9,0.7,0.9,8.1
87,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.9,2.1,2.7,0.3,8.1
88,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.3,1.7,3.6,0.2,7.9
89,PokÃ©mon Platinum Version,DS,2008,Role-Playing,Nintendo,2.8,1.8,2.7,0.6,7.8
91,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.8,0.2,1.8,7.7
92,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.7,2.4,1,0.6,7.7
93,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.9,3.3,0.2,1.2,7.7
94,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.8,3.3,0.1,1.4,7.6
95,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.9,1.5,0.2,7.6
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.8,2.2,1.3,0.3,7.6
97,Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.4,1.2,0.7,0.2,7.5
98,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.2,1.4,2.4,0.4,7.5
100,Battlefield 3,X360,2011,Shooter,Electronic Arts,4.5,2.1,0.1,0.7,7.3
101,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.8,2.2,0.6,0.7,7.3
104,Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.9,2.9,0.4,1.1,7.2
105,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.3,2.8,0.1,1,7.2
106,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.3,2.2,1.4,0.3,7.2
107,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.7,1.8,1.4,0.3,7.1
108,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.4,1,1.4,0.2,7.1
109,Mario Kart 8,WiiU,2014,Racing,Nintendo,3.1,2.1,1.3,0.5,7
110,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.5,3.2,0.2,1.1,7
111,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.1,1.8,0.9,0.2,7
113,FIFA 14,PS3,2013,Sports,Electronic Arts,0.8,4.3,0.1,1.7,6.9
114,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.7,3,0.1,1.1,6.9
115,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.9,2.8,0.2,1,6.8
116,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.8,2.8,0.2,1.1,6.8
117,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.2,2.4,0.9,0.3,6.8
119,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.2,1.9,0.1,0.6,6.8
120,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.3,2.3,0.2,1,6.7
121,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.1,2.3,0.3,1,6.7
122,FIFA 12,PS3,2011,Sports,Electronic Arts,0.8,4.3,0.1,1.4,6.7
123,Big Brain Academy,DS,2005,Misc,Nintendo,1.7,2.8,1.6,0.6,6.7
124,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.8,2.6,0.2,1,6.6
125,FIFA 15,PS4,2014,Sports,Electronic Arts,0.8,4.3,0.1,1.5,6.6
126,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.3,1.8,1,0.5,6.6
127,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.6,2.7,0.3,1.1,6.6
128,The Legend of Zelda,NES,1986,Action,Nintendo,3.7,0.9,1.7,0.1,6.5
129,Assassin's Creed III,PS3,2012,Action,Ubisoft,2.6,2.6,0.2,1.1,6.5
130,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,5,1.3,0.1,0.1,6.4
131,PokÃ©mon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.6,1.6,2.1,0.2,6.4
132,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.6,1.2,1.5,0.1,6.4
133,PokÃ©mon Crystal Version,GB,2000,Role-Playing,Nintendo,2.6,1.6,1.3,1,6.4
134,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.3,1.4,0.1,0.6,6.4
135,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.7,2,0.1,0.6,6.3
136,Super Mario Sunshine,GC,2002,Platform,Nintendo,4,1.3,0.9,0.2,6.3
137,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2.5,0.8,2.9,0.1,6.3
141,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4.1,1.6,0.1,0.5,6.2
142,Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.5,1.9,0.1,0.6,6.1
143,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.5,2,0.9,0.7,6.1
144,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.5,1.2,0.2,0.2,6
145,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.6,1.7,0.8,0.8,6
146,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.2,1.8,0.8,0.2,6
147,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2.4,2.3,0.3,1,6
149,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.8,2.1,0.2,0.9,5.9
150,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.7,0.7,4.4,0.2,5.8
152,Resident Evil 2,PS,1998,Action,Virgin Interactive,1.9,1.5,2,0.5,5.8
153,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2.3,1.9,1.4,0.2,5.7
154,Cooking Mama,DS,2006,Simulation,505 Games,3.1,1.9,0.1,0.6,5.7
155,Destiny,PS4,2014,Shooter,Activision,2.5,2.1,0.2,1,5.7
156,Tetris,NES,1988,Puzzle,Nintendo,3,0.7,1.8,0.1,5.6
157,Assassin's Creed II,PS3,2009,Action,Ubisoft,2.5,2,0.2,0.9,5.6
159,Assassin's Creed,X360,2007,Adventure,Ubisoft,3.3,1.7,0.1,0.6,5.6
160,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.7,1.9,0.1,0.8,5.5
161,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,3,1.9,0.1,0.5,5.5
162,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.5,0.6,4.1,0.3,5.5
163,Super Mario Advance,GBA,2001,Platform,Nintendo,3.1,1.2,0.9,0.2,5.5
164,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.6,1.6,1,0.2,5.5
165,Super Mario World,GBA,2001,Platform,Nintendo,3.2,1.1,1,0.2,5.5
166,Pokemon Stadium,N64,1999,Strategy,Nintendo,3.2,1.2,0.9,0.1,5.5
168,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2.1,2.3,0.2,0.8,5.4
170,Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1.7,1.2,1.9,0.5,5.4
171,Dr. Mario,GB,1989,Puzzle,Nintendo,2.2,1,2,0.2,5.3
172,Pokemon Pinball,GB,1999,Misc,Nintendo,3,1.1,1,0.2,5.3
174,Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1.6,0.8,2.8,0.1,5.3
175,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1.9,1.1,2.1,0.2,5.3
176,Donkey Kong 64,N64,1999,Platform,Nintendo,3.3,0.8,1.1,0.1,5.3
177,Assassin's Creed II,X360,2009,Action,Ubisoft,3.1,1.6,0.1,0.5,5.3
178,Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1.2,2.5,1,0.5,5.3
179,Tomb Raider II,PS,1997,Action,Eidos Interactive,2.3,2.5,0.2,0.3,5.2
181,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,0.7,0.8,3.6,0.2,5.2
183,Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2.9,1.3,0.8,0.2,5.2
184,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.3,1.3,1.3,0.3,5.2
185,Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,2.5,1,1.6,0.2,5.2
187,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.9,1.8,1,0.5,5.2
188,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2.1,0.7,2.2,0.1,5.2
189,Tomodachi Life,3DS,2013,Simulation,Nintendo,1,2,1.9,0.3,5.2
190,Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,1.6,2.5,0.4,0.6,5.1
191,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,2,2.2,0.1,0.8,5.1
192,Kirby's Dream Land,GB,1992,Platform,Nintendo,2.7,0.6,1.7,0.1,5.1
193,Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3.6,1.1,0.1,0.4,5.1
197,Resident Evil 5,PS3,2009,Action,Capcom,2,1.4,1.1,0.7,5.1
199,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.7,2,0.2,1.2,5.1
200,FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,0.6,3.3,0.1,1.1,5.1
201,Super Mario Bros.,GB,1999,Platform,Nintendo,3.4,1.3,0.2,0.2,5.1
202,Resident Evil,PS,1996,Action,Virgin Interactive,2.1,1.2,1.1,0.7,5.1
204,Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,2.6,1.1,0.8,0.6,5
206,Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,3.4,1.4,0.1,0.2,5
207,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3.1,1.2,0.3,0.5,5
209,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3.4,1,0.1,0.4,5
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,1.9,1.2,1.5,0.4,5
211,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,2.3,1.7,0.1,0.8,4.9
214,Diddy Kong Racing,N64,1997,Racing,Nintendo,2.9,1,0.9,0.1,4.9
216,Dr. Mario,NES,1990,Puzzle,Nintendo,2.6,0.6,1.5,0.1,4.9
217,God of War III,PS3,2010,Action,Sony Computer Entertainment,2.7,1.4,0.1,0.6,4.8
219,Assassin's Creed,PS3,2007,Adventure,Ubisoft,1.9,2,0.1,0.8,4.8
221,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,2.6,1.6,0.4,0.2,4.8
222,FIFA 17,PS4,2016,Sports,Electronic Arts,0.3,3.8,0.1,0.7,4.8
227,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,1.9,1.1,1.3,0.4,4.7
228,The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,1.9,2,0.1,0.7,4.7
229,Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,2.1,2,0.1,0.5,4.6
230,Tomb Raider,PS,1996,Action,Eidos Interactive,2.3,2,0.1,0.2,4.6
232,The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,2.4,0.9,1.2,0.1,4.6
233,The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,2.6,1,0.9,0.1,4.6
234,Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,1.9,2,0.2,0.5,4.6
235,Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,1.8,1.4,1.1,0.3,4.6
236,Splatoon,WiiU,2015,Shooter,Nintendo,1.6,1.2,1.4,0.4,4.6
237,The Last of Us,PS4,2014,Action,Sony Computer Entertainment,1.8,1.9,0.1,0.8,4.6
244,Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,2,1.7,0.1,0.7,4.5
245,Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision,1.5,1.9,0.2,0.8,4.5
247,Nintendo Land,WiiU,2012,Misc,Nintendo,2.6,1.1,0.5,0.3,4.4
250,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,0.1,2.4,1.1,0.9,4.4
251,The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,2.8,1.1,0.1,0.4,4.4
252,Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,2.2,0.5,1.6,0.1,4.4
253,Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,2,1.8,0.1,0.5,4.4
254,Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,1.7,1.7,0.1,0.8,4.4
255,Sonic the Hedgehog,GEN,1991,Platform,Sega,3,0.9,0.3,0.1,4.3
256,Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,2.2,0.6,1.4,0.2,4.3
260,Fable II,X360,2008,Role-Playing,Microsoft Game Studios,2.5,1.3,0.1,0.4,4.3
262,Super Mario 3D World,WiiU,2013,Platform,Nintendo,2.1,1.1,0.7,0.3,4.3
263,Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,2.2,1.3,0.1,0.6,4.3
264,Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,1.4,2,0.1,0.7,4.2
265,Namco Museum,GBA,2001,Misc,Namco Bandai Games,3,1.1,0.1,0.1,4.2
269,The Legend of Zelda: Ocarina of Time,3DS,2011,Action,Nintendo,2,1.3,0.6,0.3,4.2
271,EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment,0.9,2.3,0.2,0.8,4.2
272,Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1.3,2.1,0.2,0.7,4.2
273,Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,1.3,1.8,0.6,0.5,4.2
275,Street Fighter IV,PS3,2009,Fighting,Capcom,2,1.1,0.6,0.5,4.2
278,Excitebike,NES,1984,Racing,Nintendo,2,0.5,1.6,0.1,4.2
281,Watch Dogs,PS4,2014,Action,Ubisoft,1.4,1.9,0.1,0.8,4.1
283,Super Mario World 2: Yoshi's Island,SNES,1995,Platform,Nintendo,1.7,0.6,1.8,0.1,4.1
285,The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo,2.1,1.2,0.4,0.4,4.1
286,Street Fighter II Turbo,SNES,1992,Fighting,Capcom,1.4,0.5,2.1,0.1,4.1
287,Carnival Games,Wii,2007,Misc,Take-Two Interactive,2.1,1.5,0.1,0.4,4.1
293,World Soccer Winning Eleven 9,PS2,2005,Sports,Konami Digital Entertainment,0.1,2.3,0.9,0.8,4.1
294,Namco Museum Vol.3,PS,1996,Misc,Sony Computer Entertainment,2.3,1.6,0.2,0.1,4.1
